Id,saleprice
2658,124547.94100604247
2718,196271.4093150537
2414,203849.60080160399
1989,112172.70167186367
625,181266.0095275904
333,86968.9463625179
1327,87662.14790461605
858,148487.60864792336
95,222867.36709724928
1568,153882.74012072958
2482,174056.62254232474
1364,121881.44053798786
2584,159978.27387619874
818,254940.27953141922
2673,160702.53531311022
2089,129419.4584704611
1297,160426.784888307
790,118849.5962110981
2616,176073.77802377002
720,204384.6989651553
222,132644.77609508391
557,129133.24460062878
1148,196251.44109497717
2766,155727.5298868828
534,192517.10042781
1452,97810.57871170546
630,143553.00837599506
2648,132581.15606688254
125,155568.91823124106
1904,14201.459420290426
1670,110228.16166591998
756,114839.2666908903
717,240966.0005402662
1032,158104.44945650682
852,215606.61963722724
1731,193922.44718615446
2639,90736.5523461891
2071,94048.65216473101
1267,137578.5451912423
1851,209778.8352846137
567,183997.88314705007
2439,220345.2458817837
1898,164353.6390645886
647,146248.64452684746
2256,227716.2522720921
979,82206.23155272339
1444,228201.65988281718
2485,95132.78931519043
157,111856.83057517445
88,120886.65902833751
2003,102774.66019656077
186,212229.61183617605
1425,246644.06926530835
2695,137581.33951823926
738,118234.55308724273
395,151708.7595959873
1353,174334.73517993622
1878,145914.03626351297
390,160636.48507337208
1456,241922.56736082185
1103,315575.45571857307
1387,132063.66512358707
2070,129087.75974525695
1199,199160.91091914117
2479,193227.35703750962
501,312072.8180392485
2362,71178.8473723616
1718,241477.04103582574
2188,57852.50189343677
1483,153469.96513857786
2557,64814.09224385374
437,340446.89380608837
2224,194291.27861148975
1628,201492.47524843534
397,138443.37855368853
587,188290.28316329318
971,155415.68910410127
2611,141075.49226920126
1887,107032.63418831883
2399,343406.26068355667
2148,210133.7613848055
304,141479.87701094203
1997,131119.22203941495
2817,151383.8599374694
1431,225646.55202678134
427,364123.9831312655
263,105505.30699498992
598,170396.56467945743
2895,237842.99944470346
687,171960.66406294215
1822,128237.78654936737
2191,101838.20030842548
179,121456.87254554598
1009,280449.8578305288
2010,120482.2730710759
1991,147975.57963729417
1411,154056.37953604467
1721,281215.98852241534
1144,203326.6352573237
593,237903.46918251508
575,297416.14872462756
1249,182828.48173918898
1604,106312.92162286636
1064,378734.57602825563
1923,147080.70227646528
1988,78301.95225755287
2325,180323.86653729415
114,204329.2536865662
2700,191344.56269279667
217,108031.79376283115
343,166725.75336335503
386,244250.60540460763
2005,107928.50833914627
2908,120107.29585600508
1814,203692.87718849847
2446,393858.15366390825
208,185140.0645356515
1679,116533.3755347814
822,294190.72666289844
6,170291.58095481797
1781,327658.7446189355
2397,313346.3704964365
